ID,Assessment,Scope Type,Auditor,Test Procedure(s),Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q1 Examine,Q1 Interview,Q1 Test,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q2 Examine,Q2 Interview,Q2 Test,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q3 Examine,Q3 Interview,Q3 Test,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Q4 Examine,Q4 Interview,Q4 Test,Linked Artifacts,Remediation Owner,Action Plan,Remediation Due Date
GV.SC-04 Ex1,2025 Alma Security CSF,controls,Steve,"1. Review supplier inventory in ServiceNow
2. Verify criticality ratings against documented criteria
3. Interview procurement team on tiering process
4. Sample quarterly review documentation",7,7,Supplier inventory maintained with appropriate criticality ratings. Quarterly reviews documented with CISO and Procurement sign-off.,2025-01-10,Complete,Yes,Yes,Yes,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Third Party Risk Management Policy,,,
GV.OC-01 Ex1,2025 Alma Security CSF,controls,Steve,"1. Review mission documentation on website
2. Examine Board briefing materials
3. Interview CISO on mission alignment
4. Verify security investment ties to mission objectives",8,8,Mission clearly documented and communicated. Security investments explicitly tied to mission objectives including Apple Passkey partnership.,2025-01-10,Complete,Yes,Yes,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Security Governance Charter; Board Briefing Materials,,,
GV.RR-02 Ex1,2025 Alma Security CSF,controls,Steve,"1. Review Information Security Policy
2. Examine RACI matrix
3. Verify reporting structure
4. Interview security team leads",7,7,Roles documented in policy and RACI. Clear reporting structure with CISO to CEO and quarterly Board reporting.,2025-01-11,Complete,Yes,Yes,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Information Security Policy; RACI Matrix,,,
GV.OC-02 Ex1,2025 Alma Security CSF,controls,Steve,"1. Review stakeholder identification process
2. Examine Board meeting minutes
3. Review customer trust survey results
4. Verify security service catalog",7,7,Stakeholder expectations captured through multiple channels. Public trust rebuilding program in place following 2022 events.,2025-01-11,Complete,Yes,Yes,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Security Service Catalog,,,
GV.OV-01 Ex2,2025 Alma Security CSF,controls,Steve,"1. Review KPI definitions and targets
2. Examine quarterly KPI reports
3. Verify Board review of KPI trends
4. Assess investment decision linkage to KPIs",8,8,"Five KPIs tracked quarterly with automated dashboards. TTD, TTI, TTR-CJC, TTR-C, and Public Trust Score all monitored.",2025-01-12,Complete,Yes,Yes,Yes,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,KPI Dashboard; Board Reports,,,
GV.RM-01 Ex2,2025 Alma Security CSF,controls,Steve,"1. Review risk management objectives
2. Verify Board approval documentation
3. Examine automated dashboards
4. Assess alignment with company goals",7,8,Risk objectives established with Board approval. TTD target <4 min by Jan 2025 not yet met (currently 9 hours). ASM vendor selection in progress.,2025-01-12,Complete,Yes,Yes,Yes,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Risk Register; Board Approval Documentation,,,
GV.RR-01 Ex4,2025 Alma Security CSF,controls,Steve,"1. Review Security Governance Charter
2. Verify CISO reporting structure
3. Examine coordination meeting records
4. Assess hiring strategy progress",6,7,Charter establishes authority. Hiring strategy STS1 in progress but 50% understaffing risk (R1) not yet resolved.,2025-01-13,Complete,Yes,Yes,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Security Governance Charter,,,
GV.SC-01 Ex3,2025 Alma Security CSF,controls,Steve,"1. Review SCRM program documentation
2. Examine vendor management policy
3. Verify ServiceNow workflows
4. Assess Apple Passkey vendor requirements",7,7,SCRM program well documented with ServiceNow integration. Apple Passkey audit planned for Feb 2025.,2025-01-13,Complete,Yes,Yes,Yes,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Vendor Management Policy; SCRM Strategy,,,
GV.SC-02 Ex7,2025 Alma Security CSF,controls,Steve,"1. Review RACI for SCRM roles
2. Verify procurement training records
3. Examine supplier contract templates
4. Assess RFP security clauses",7,7,SCRM roles defined and communicated. Procurement staff SCRM certified. RFP templates include mandatory security clauses.,2025-01-14,Complete,Yes,Yes,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,RACI Matrix; RFP Templates,,,
GV.SC-06 Ex3,2025 Alma Security CSF,controls,Steve,"1. Review ServiceNow onboarding workflows
2. Verify security questionnaire process
3. Examine sample vendor assessments
4. Assess remediation tracking for Apple Passkey vendor",7,7,Due diligence performed through ServiceNow workflows. Assessments completed before contract execution.,2025-01-14,Complete,Yes,Yes,Yes,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,Vendor Assessment Template,,,
