Requirement ID,Framework,CSF Function,CSF Function Description,Category Name,Category Description,Subcategory ID,Subcategory Description,Implementation Example,Implementation Description (Control),Control Owner,Stakeholders,Artifacts,Findings,Control Evaluation Back Link
DE.AE-02 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex1: Use security information and event management (SIEM) or other tools to continuously monitor log events for known malicious and suspicious activity,Alma Security uses AWS CloudTrail and GuardDuty for SIEM-like log monitoring. Detection rules are tuned based on threat intelligence with current TTD at 9 hours. The Incident Response Enhancement project addresses 24/7 monitoring gaps. Log analysis covers malicious activity patterns across AWS accounts with expanded use cases added quarterly.,CPA to Cybersecurity,Steve McMichael,,,WP-6
DE.AE-02 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,"Ex2: Utilize up-to-date cyber threat intelligence in log analysis tools to improve detection accuracy and characterize threat actors, their methods, and indicators of compromise",,,,,,
DE.AE-02 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex3: Regularly conduct manual reviews of log events for technologies that cannot be sufficiently monitored through automation,"Manual log review is performed for systems not covered by automated monitoring: (1) review cadence defined by system criticality, (2) documented review process with finding templates, (3) SIEM console used for manual analysis. Automation gaps are tracked and addressed through tooling investments. Findings are documented with remediation tracking.",,,,,WP-7
DE.AE-02 Ex4,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex4: Use log analysis tools to generate reports on their findings,,,,,,
DE.AE-03 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex1: Constantly transfer log data generated by other sources to a relatively small number of log servers,,,,,,
DE.AE-03 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,"Ex2: Use event correlation technology (e.g., SIEM) to collect information captured by multiple sources","Event correlation uses: (1) CloudTrail aggregating API events across accounts, (2) GuardDuty correlating findings from multiple AWS sources, (3) custom scripts for cross-source analysis. Multi-account GuardDuty findings are centralized. Script updates planned to enhance correlation capabilities across additional sources.",,,,,WP-8
DE.AE-03 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex3: Utilize cyber threat intelligence to help correlate events among log sources,,,,,,
DE.AE-04 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-04,The estimated impact and scope of adverse events are understood,"Ex1: Use SIEMs or other tools to estimate impact and scope, and review and refine the estimates",,,,,,
DE.AE-04 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-04,The estimated impact and scope of adverse events are understood,Ex2: A person creates their own estimates of impact and scope,,,,,,
DE.AE-06 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,"Ex1: Use cybersecurity software to generate alerts and provide them to the security operations center (SOC), incident responders, and incident response tools",GuardDuty generates alerts routed to the security team via Slack with severity-based prioritization. SOC procedures define handoff between business hours staff and on-call rotation. Alert triage follows the priority matrix with escalation paths. Progress toward 24/7 coverage planned through STS1 hiring strategy.,,Steve McMichael,,,WP-9
DE.AE-06 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex2: Incident responders and other authorized personnel can access log analysis findings at all times,,,,,,
DE.AE-06 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex3: Automatically create and assign tickets in the organization's ticketing system when certain types of alerts occur,,,,,,
DE.AE-06 Ex4,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex4: Manually create and assign tickets in the organization's ticketing system when technical staff discover indicators of compromise,,,,,,
DE.AE-07 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex1: Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel",,,,,,
DE.AE-07 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex2: Securely provide information from asset inventories to detection technologies, processes, and personnel",,,,,,
DE.AE-07 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex3: Rapidly acquire and analyze vulnerability disclosures for the organization's technologies from suppliers, vendors, and third-party security advisories",,,,,,
DE.AE-08 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Ex1: Apply incident criteria to known and assumed characteristics of activity in order to determine whether an incident should be declared,"Incident declaration follows documented criteria defining thresholds by severity level. The SOC Manager has authority to declare incidents when adverse events meet criteria. The process includes: (1) applying criteria to event characteristics, (2) documenting declaration rationale in tickets, (3) lessons learned feeding continuous improvement.",,,,,WP-10
DE.AE-08 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Adverse Event Analysis (DE.AE),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Ex2: Take known false positives into account when applying incident criteria,,,,,,
DE.CM-01 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,"Ex1: Monitor DNS, BGP, and other network services for adverse events","- Network monitoring is performed through: 
(1) CloudTrail for API activity, 
(2) VPC Flow Logs for network traffic, 
(3) DNS query logging. 
- The selected ASM vendor will provide external perimeter monitoring. 
- SOC dashboards display network service status with alerting for anomalies. 
- Coverage expands per the implementation plan.",Nadia Khan,Tigan Wang,"AR-6
AR-7
AR-8
AR-9
AR-10
AR-11",FND-1,WP-42
DE.CM-01 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex2: Monitor wired and wireless networks for connections from unauthorized endpoints,,,,,,
DE.CM-01 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex3: Monitor facilities for unauthorized or rogue wireless networks,,,,,,
DE.CM-01 Ex4,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex4: Compare actual network flows against baselines to detect deviations,,,,,,
DE.CM-01 Ex5,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex5: Monitor network communications to identify changes in security postures for zero trust purposes,,,,,,
DE.CM-02 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex1: Monitor logs from physical access control systems (e.g., badge readers) to find unusual access patterns (e.g., deviations from the norm) and failed access attempts",,,,,,
DE.CM-02 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex2: Review and monitor physical access records (e.g., from visitor registration, sign-in sheets)",,,,,,
DE.CM-02 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex3: Monitor physical access controls (e.g., locks, latches, hinge pins, alarms) for signs of tampering",,,,,,
DE.CM-02 Ex4,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex4: Monitor the physical environment using alarm systems, cameras, and security guards",,,,,,
DE.CM-03 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Ex1: Use behavior analytics software to detect anomalous user activity to mitigate insider threats,,,,,,
DE.CM-03 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Ex2: Monitor logs from logical access control systems to find unusual access patterns and failed access attempts,"Personnel activity monitoring includes: (1) CloudTrail logging all IAM actions, (2) SSO authentication logs via Windows Authenticator and Palo Alto 2FA, (3) failed authentication alerting and tracking. The IAM team reviews anomalies daily. SOC dashboards (60% complete) will provide consolidated access pattern visibility.",,,,,WP-11
DE.CM-03 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,"Ex3: Continuously monitor deception technology, including user accounts, for any usage",,,,,,
DE.CM-06 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,Ex1: Monitor remote and onsite administration and maintenance activities that external providers perform on organizational systems,,,,,,
DE.CM-06 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,"Ex2: Monitor activity from cloud-based services, internet service providers, and other service providers for deviations from expected behavior",,,,,,
DE.CM-09 Ex1,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-09,"Computing hardware and software
runtime environments
and their data are monitored to find potentially adverse events","Ex1: Monitor email, web, file sharing, collaboration services, and other common attack vectors to detect malware, phishing, data leaks and exfiltration, and other adverse events","Computing environment monitoring includes: (1) O365 ATP for email and web traffic with Alma-specific threat rules, (2) Slack monitoring for policy violations, (3) system monitoring policy defining coverage scope. Data leak detection capabilities are evaluated for expansion. Collaboration service monitoring covers Outlook 365 and Slack.",,,,,WP-12
DE.CM-09 Ex2,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-09,"Computing hardware and software
runtime environments
and their data are monitored to find potentially adverse events",Ex2: Monitor authentication attempts to identify attacks against credentials and unauthorized credential reuse,,,,,,
DE.CM-09 Ex3,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-09,"Computing hardware and software
runtime environments
and their data are monitored to find potentially adverse events",Ex3: Monitor software configurations for deviations from security baselines,,,,,,
DE.CM-09 Ex4,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-09,"Computing hardware and software
runtime environments
and their data are monitored to find potentially adverse events",Ex4: Monitor hardware and software for signs of tampering,,,,,,
